order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,region,sales_channel,payment_method,gross_sales,discount_amount,net_sales,estimated_cost,gross_profit,profit_margin,order_month
O000001,C02058,P0029,2024-06-05,1,306.49,0.15,19.44,East,Partner,Bank Transfer,306.49,45.9735,260.5165,185.87,55.206500000000005,0.21191172152243717,2024-06
O000002,C02357,P0065,2024-04-02,1,179.07,0.0,5.47,Central,Retail Store,Debit Card,179.07,0.0,179.07,95.98,77.61999999999999,0.43346177472496783,2024-04
O000003,C00339,P0061,2025-08-08,3,549.96,0.1,11.47,East,Online,Credit Card,1649.88,164.98800000000003,1484.892,915.06,558.3620000000001,0.3760286943427536,2025-08
O000004,C01780,P0017,2024-05-18,2,1003.97,0.0,15.13,Central,Online,Debit Card,2007.94,0.0,2007.94,1019.84,972.97,0.4845612916720619,2024-05
O000005,C02148,P0032,2024-09-05,1,175.67,0.2,5.03,South,Online,Credit Card,175.67,35.134,140.536,102.46,33.04600000000001,0.2351425969146696,2024-09
O000006,C01695,P0055,2025-01-09,1,163.36,0.0,19.82,South,Online,Credit Card,163.36,0.0,163.36,119.0,24.540000000000013,0.15022037218413328,2025-01
O000007,C00694,P0045,2025-09-23,3,149.31,0.2,12.41,South,Online,Debit Card,447.93,89.58600000000001,358.344,270.39,75.54400000000001,0.21081418971714333,2025-09
O000008,C00957,P0026,2025-12-02,1,141.49,0.2,5.03,East,Retail Store,Credit Card,141.49,28.298000000000002,113.19200000000001,75.72,32.44200000000001,0.2866103611562655,2025-12
O000009,C00224,P0032,2025-09-27,4,175.67,0.2,2.81,South,Retail Store,PayPal,702.68,140.536,562.144,409.84,149.49400000000003,0.2659354186827575,2025-09
O000010,C00456,P0040,2025-04-05,2,255.42,0.0,7.09,East,Online,Debit Card,510.84,0.0,510.84,397.84,105.91,0.20732518988332943,2025-04
O000011,C02144,P0034,2025-07-15,2,186.26,0.15,10.97,South,Partner,Credit Card,372.52,55.87799999999999,316.642,228.76,76.912,0.2428989205474953,2025-07
O000012,C02158,P0006,2024-09-18,1,877.9,0.0,3.69,South,Online,PayPal,877.9,0.0,877.9,519.06,355.15000000000003,0.4045449367809546,2024-09
O000013,C00035,P0009,2025-02-01,2,285.48,0.15,21.95,Central,Partner,PayPal,570.96,85.644,485.31600000000003,389.52,73.84600000000005,0.1521606540892945,2025-02
O000014,C00079,P0038,2025-10-26,1,323.52,0.05,22.84,South,Online,Credit Card,323.52,16.176,307.344,167.43,117.07399999999998,0.3809217033682128,2025-10
O000015,C01986,P0077,2025-06-28,1,70.81,0.0,15.12,North,Online,Bank Transfer,70.81,0.0,70.81,37.35,18.340000000000003,0.2590029656828132,2025-06
O000016,C00089,P0006,2024-09-10,4,877.9,0.0,19.25,Central,Online,Bank Transfer,3511.6,0.0,3511.6,2076.24,1416.1100000000001,0.4032663173482174,2024-09
O000017,C00076,P0045,2025-12-01,1,149.31,0.15,20.77,West,Online,PayPal,149.31,22.3965,126.9135,90.13,16.013500000000004,0.12617649028669137,2025-12
O000018,C01056,P0050,2024-01-31,5,668.03,0.0,22.69,South,Online,PayPal,3340.1499999999996,0.0,3340.1499999999996,1786.05,1531.4099999999996,0.45848539736239385,2024-01
O000019,C00563,P0012,2025-01-26,2,436.24,0.15,11.89,North,Retail Store,Debit Card,872.48,130.87199999999999,741.6080000000001,524.52,205.1980000000001,0.27669334742883045,2025-01
O000020,C02347,P0020,2025-03-12,5,797.9,0.1,7.15,West,Online,Debit Card,3989.5,398.95000000000005,3590.55,3058.8999999999996,524.5000000000006,0.14607789892913356,2025-03
O000021,C00568,P0075,2025-07-08,2,44.45,0.0,17.99,East,Partner,PayPal,88.9,0.0,88.9,57.88,13.030000000000005,0.14656917885264345,2025-07
O000022,C02146,P0018,2025-03-16,6,159.0,0.2,9.64,Central,Online,Debit Card,954.0,190.8,763.2,534.9000000000001,218.65999999999997,0.28650419287211737,2025-03
O000023,C02283,P0069,2024-05-01,1,30.77,0.2,19.72,East,Partner,Credit Card,30.77,6.154,24.616,18.55,-13.654,-0.5546798830029249,2024-05
O000024,C01696,P0053,2024-11-06,2,316.62,0.2,5.92,North,Partner,PayPal,633.24,126.64800000000001,506.592,455.84,44.83200000000001,0.08849725222664394,2024-11
