order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,region,sales_channel,payment_method
O000001,C02058,P0029,2024-06-05,1,306.49,0.15,19.44,East,Partner,Bank Transfer
O000002,C02357,P0065,2024-04-02,1,179.07,0.0,5.47,Central,Retail Store,Debit Card
O000003,C00339,P0061,2025-08-08,3,549.96,0.1,11.47,East,Online,Credit Card
O000004,C01780,P0017,2024-05-18,2,1003.97,0.0,15.13,Central,Online,Debit Card
O000005,C02148,P0032,2024-09-05,1,175.67,0.2,5.03,South,Online,Credit Card
O000006,C01695,P0055,2025-01-09,1,163.36,0.0,19.82,South,Online,Credit Card
O000007,C00694,P0045,2025-09-23,3,149.31,0.2,12.41,South,Online,Debit Card
O000008,C00957,P0026,2025-12-02,1,141.49,0.2,5.03,East,Retail Store,Credit Card
O000009,C00224,P0032,2025-09-27,4,175.67,0.2,2.81,South,Retail Store,PayPal
O000010,C00456,P0040,2025-04-05,2,255.42,0.0,7.09,East,Online,Debit Card
O000011,C02144,P0034,2025-07-15,2,186.26,0.15,10.97,South,Partner,Credit Card
O000012,C02158,P0006,2024-09-18,1,877.9,0.0,3.69,South,Online,PayPal
O000013,C00035,P0009,2025-02-01,2,285.48,0.15,21.95,Central,Partner,PayPal
O000014,C00079,P0038,2025-10-26,1,323.52,0.05,22.84,South,Online,Credit Card
O000015,C01986,P0077,2025-06-28,1,70.81,0.0,15.12,North,Online,Bank Transfer
O000016,C00089,P0006,2024-09-10,4,877.9,0.0,19.25,Central,Online,Bank Transfer
O000017,C00076,P0045,2025-12-01,1,149.31,0.15,20.77,West,Online,PayPal
O000018,C01056,P0050,2024-01-31,5,668.03,0.0,22.69,South,Online,PayPal
O000019,C00563,P0012,2025-01-26,2,436.24,0.15,11.89,North,Retail Store,Debit Card
O000020,C02347,P0020,2025-03-12,5,797.9,0.1,7.15,West,Online,Debit Card
O000021,C00568,P0075,2025-07-08,2,44.45,0.0,17.99,East,Partner,PayPal
O000022,C02146,P0018,2025-03-16,6,159.0,0.2,9.64,Central,Online,Debit Card
O000023,C02283,P0069,2024-05-01,1,30.77,0.2,19.72,East,Partner,Credit Card
O000024,C01696,P0053,2024-11-06,2,316.62,0.2,5.92,North,Partner,PayPal
O000025,C00770,P0014,2024-05-14,1,1303.2,0.2,16.13,Central,Partner,PayPal
O000026,C00946,P0077,2024-08-25,1,70.81,0.0,5.52,North,Online,Bank Transfer
O000027,C02477,P0061,2025-12-30,2,549.96,0.0,13.16,North,Partner,Bank Transfer
O000028,C00671,P0025,2024-08-19,1,27.18,0.2,23.88,North,Partner,PayPal
O000029,C00912,P0086,2024-07-26,3,172.17,0.0,22.01,South,Online,Bank Transfer
O000030,C02007,P0042,2025-04-13,4,68.63,0.05,16.18,East,Online,Credit Card
O000031,C01559,P0041,2025-02-07,2,93.16,0.15,14.21,Central,Online,Credit Card
O000032,C01850,P0059,2024-02-13,4,534.37,0.0,24.64,West,Online,Bank Transfer
O000033,C00161,P0072,2025-01-31,2,12.41,0.15,9.05,South,Partner,Debit Card
O000034,C01631,P0039,2024-10-19,2,393.4,0.05,18.02,West,Online,Credit Card
O000035,C00583,P0060,2025-10-23,2,227.84,0.15,20.02,East,Online,Debit Card
O000036,C02239,P0018,2025-02-06,1,159.0,0.05,15.78,North,Online,Bank Transfer
O000037,C00828,P0059,2024-04-02,1,534.37,0.15,18.66,South,Retail Store,Debit Card
O000038,C00507,P0012,2024-04-26,3,436.24,0.15,18.85,Central,Online,Bank Transfer
O000039,C02096,P0079,2024-06-12,1,95.49,0.05,23.03,West,Online,Debit Card
